Site Name,Site ID,Region,District,Site Status (Grid/Prime),ESCOM,Tank Size,Opening Litres, Litres Dispensed , Closing Litres , Usage in Litres ,Opening Hours,Closing Hours,Hours Run,Average Usage Per Hour,Opening Readings,Units Bought,Closing Readings,Power Usage
LIWALADZI,TN26007,North,NKHOTAKOTA,Grid,Prepaid,1000,870,0,430,440,5319,5494,175, 2.5 ,,,,0
KASASA,TN26005,North,NKHOTAKOTA,Grid,Prepaid,1000,978,0,915,63,1371,1401,30, 2.1 ,,,,0
DWANGWA FACTORY,TN26003,North,NKHOTAKOTA,Grid,Prepaid,1000,624,0,530,94,1024,1059,35, 2.7 ,,,,0
DWANGWA TRADING,TN26004,North,NKHOTAKOTA,Grid,Prepaid,600,966,0,904,62,1884,1915,31, 2.0 ,600,2927,100,3427
NGALA,TN10076,North,NKHOTAKOTA,Grid,Prepaid,600,0,0,0,0,12480,0,-12480, -   ,,,,0
TUKOMBO,TN13004,North,NKHATABAY,Grid,Postpaid,1000,956,0,893,63,2481,2506,25, 2.5 ,18021,,17111,910
KABUNDI,TN15034,North,NKHATABAY,Grid,Prepaid,600,876,450,382,944,11825,12101,276, 3.4 ,,,,0
CHIKWINA,TN12002,North,NKHATABAY,Grid,Prepaid,600,0,0,0,0,0,0,0,#DIV/0!,,,,0
MZUZU BSC EXCHANGE,TN13002,North,MZUZU,Grid,Prepaid,2000,1540,1220,2000,760,3921,3987,66, 11.5 ,9006,8666,2007,15665
MZUZU GESTETNER,TN11010,North,MZUZU,Grid,Prepaid,1000,1000,0,824,176,2769,2849,80, 2.2 ,1897,2927,1687,3137
MZUZU OFFICE,TN10062,North,MZUZU,Grid,Prepaid,210,170,52,180,42,5618,5638,20, 2.1 ,1197,3658,1028,3827
MZUZU CHIMALIRO,TN10069,North,MZUZU,Grid,Prepaid,1000,802,0,747,55,7239,7264,25, 2.2 ,150,3658,286,3522
MZUZU FOREST,TN10065,North,MZUZU,Grid,Prepaid,210,500,239,350,389,11939,12167,228, 1.7 ,200,2927,575,2552
USISYA,TN10079,North,NKHATABAY,Grid,Prepaid,600,487,365,600,252,14474,14489,15, 16.8 ,500,2561,987,2074
NKHORONGO,TN15008,North,MZUZU,Grid,Prepaid,600,600,103,600,103,7598,7614,16, 6.4 ,100,2927,500,2527
MZUZU CHIBANJA,TN13017,North,MZUZU,Grid,Prepaid,1000,880,0,820,60,7013,7039,26, 2.3 ,250,2927,447,2730
KATOTO,TN10052,North,MZUZU,Grid,Prepaid,60,558,160,600,118,7581,7660,79, 1.5 ,320,2927,900,2347
MCHENGAUTUBA,TN13001,North,MZUZU,Grid,Prepaid,1000,678,535,923,290,3481,3518,37, 7.8 ,2061,5124,1008,6177
LUSANGAZI,TN15004,North,MZUZU,Grid,Prepaid,600,534,200,600,134,1468,1508,40, 3.4 ,1891,2927,950,3868
LUWAWA FOREST,TN12025,North,MZIMBA,OFFGRID,Prepaid,800,800,0,440,360,967,1087,120, 3.0 ,,,,0
LWANJATI,TN10063,North,MZIMBA,OFFGRID,Prepaid,800,800,0,383,417,30461,30600,139, 3.0 ,,,,0
JENDA,TN15033,North,MZIMBA,Grid,Prepaid,1000,1000,0,750,250,4257,4366,109, 2.3 ,943,2927,840,3030
EDINGENI,TN13010,North,MZIMBA,Grid,Prepaid,600,600,0,560,40,12289,12307,18, 2.2 ,968,2927,1257,2638
LUPERERE,TN13019,North,MZIMBA,OFFGRID,Prepaid,600,528,0,75,453,23797,23948,151, 3.0 ,,,,0
MANYAMULA,TN15012,North,MZIMBA,Grid,Prepaid,600,600,160,550,210,14305,14421,116, 1.8 ,1102,4026,1029,4099
ESWAZINI,TN15022,North,MZIMBA,Grid,Prepaid,600,564,0,282,282,9509,9603,94, 3.0 ,,,,0
MPHEREMBE,TN11004,North,MZIMBA,Grid,Prepaid,600,780,815,700,895,4308,4596,288, 3.1 ,899,2927,999,2827
RUMPHI TOWN,TN13013,North,RUMPHI,Grid,Prepaid,600,561,70,560,71,10020,10050,30, 2.4 ,900,2927,801,3026
BOLERO,TN10064,North,RUMPHI,Grid,Prepaid,210,553,180,550,183,11660,11723,63, 2.9 ,750,2927,652,3025
THAZIMA,TN13014,North,RUMPHI,OFFGRID,Prepaid,1000,326,1628,1000,954,7864,8143,279, 3.4 ,,,,0
CHILINDA/CHOSI,TN14021,North,RUMPHI,OFFGRID,Prepaid,1000,614,1120,907,827,12096,12335,239, 3.5 ,,,,0
